tuples,method,run,seconds
1000,baseline,1,0.02
1000,forward_ad,1,0.08
1000,reverse_ad,1,0.03
1000,baseline,2,0.02
1000,forward_ad,2,0.07
1000,reverse_ad,2,0.03
1000,baseline,3,0.02
1000,forward_ad,3,0.09
1000,reverse_ad,3,0.03
1000,baseline,4,0.02
1000,forward_ad,4,0.08
1000,reverse_ad,4,0.03
1000,baseline,5,0.03
1000,forward_ad,5,0.10
1000,reverse_ad,5,0.02
5000,baseline,1,0.03
5000,forward_ad,1,0.28
5000,reverse_ad,1,0.05
5000,baseline,2,0.03
5000,forward_ad,2,0.31
5000,reverse_ad,2,0.10
5000,baseline,3,0.03
5000,forward_ad,3,0.28
5000,reverse_ad,3,0.05
5000,baseline,4,0.03
5000,forward_ad,4,0.29
5000,reverse_ad,4,0.05
5000,baseline,5,0.03
5000,forward_ad,5,0.29
5000,reverse_ad,5,0.05
10000,baseline,1,0.04
10000,forward_ad,1,0.54
10000,reverse_ad,1,0.07
10000,baseline,2,0.05
10000,forward_ad,2,0.54
10000,reverse_ad,2,0.07
10000,baseline,3,0.04
10000,forward_ad,3,0.54
10000,reverse_ad,3,0.07
10000,baseline,4,0.04
10000,forward_ad,4,0.54
10000,reverse_ad,4,0.07
10000,baseline,5,0.04
10000,forward_ad,5,0.54
10000,reverse_ad,5,0.07
20000,baseline,1,0.07
20000,forward_ad,1,1.04
20000,reverse_ad,1,0.11
20000,baseline,2,0.06
20000,forward_ad,2,1.05
20000,reverse_ad,2,0.11
20000,baseline,3,0.06
20000,forward_ad,3,1.05
20000,reverse_ad,3,0.11
20000,baseline,4,0.06
20000,forward_ad,4,1.03
20000,reverse_ad,4,0.11
20000,baseline,5,0.06
20000,forward_ad,5,1.06
20000,reverse_ad,5,0.11
50000,baseline,1,0.11
50000,forward_ad,1,2.58
50000,reverse_ad,1,0.24
50000,baseline,2,0.12
50000,forward_ad,2,2.55
50000,reverse_ad,2,0.25
50000,baseline,3,0.11
50000,forward_ad,3,2.54
50000,reverse_ad,3,0.24
50000,baseline,4,0.11
50000,forward_ad,4,2.55
50000,reverse_ad,4,0.32
50000,baseline,5,0.11
50000,forward_ad,5,2.53
50000,reverse_ad,5,0.24
